Country,Vaccines are important for children to have (%),Vaccines are safe (%),Vaccines are effective (%)
Afghanistan,1.05,2.235,0.92
Albania,0.835,7.925,4.48
Algeria,1.85,5.640000000000001,3.85
Argentina,0.605,2.425,1.4749999999999999
Armenia,6.09,10.285,6.234999999999999
Australia,1.635,3.45,2.045
Austria,5.8950000000000005,10.525,5.645
Azerbaijan,4.16,5.615,4.21
Bangladesh,0.19999999999999998,0.45499999999999996,0.225
Belarus,3.8,7.390000000000001,4.92
Belgium,2.3499999999999996,10.32,2.67
Benin,0.9,7.01,3.3049999999999997
Bolivia,0.885,6.55,4.325
Bosnia and Herzegovina,2.935,4.15,3.0999999999999996
Botswana,1.915,4.5,2.04
Brazil,0.255,4.5249999999999995,3.34
Bulgaria,3.46,7.8100000000000005,3.2199999999999998
Burkina Faso,1.435,10.375,4.3100000000000005
Burundi,0.32999999999999996,3.2649999999999997,1.74
Cambodia,0.47,3.77,1.02
Cameroon,0.91,6.555,4.775
Canada,2.6849999999999996,4.165,2.9
Chad,2.17,5.025,3.55
Chile,1.995,5.6899999999999995,3.23
China,0.935,4.145,1.415
Colombia,0.29000000000000004,5.35,3.9749999999999996
Comoros,0.655,3.75,1.28
"Congo, Rep.",1.105,8.75,1.7149999999999999
Costa Rica,0.515,2.9050000000000002,2.67
Croatia,2.175,3.3949999999999996,1.985
Cyprus,3.01,4.93,3.0949999999999998
Czech Republic,1.49,3.3,1.54
Denmark,1.1800000000000002,4.49,2.04
Dominican Republic,0.13,2.455,1.385
Ecuador,0.445,2.695,2.8899999999999997
Egypt,0.31,0.59,0.6
El Salvador,0.41500000000000004,5.69,4.08
Estonia,2.8600000000000003,6.745,3.29
Eswatini,0.6950000000000001,5.045,4.045
Ethiopia,0.14,1.27,0.97
Finland,0.8400000000000001,3.995,2.1149999999999998
France,4.88,16.645,9.14
Gabon,1.325,12.93,5.82
Georgia,1.815,4.79,2.575
Germany,2.145,6.44,1.605
Ghana,1.38,1.75,2.9850000000000003
Greece,0.8400000000000001,1.795,1.23
Guatemala,0.425,3.64,3.69
Guinea,1.795,7.025,3.665
Haiti,0.8600000000000001,10.2,5.109999999999999
Honduras,0.26,2.9450000000000003,2.33
Hungary,0.635,1.315,0.67
Iceland,0.44,10.635,0.6
India,0.6799999999999999,1.0,0.9
Indonesia,1.5050000000000001,2.87,5.775
Iran,0.86,4.58,1.295
Iraq,1.47,2.225,1.935
Ireland,1.97,4.68,2.165
Israel,0.44,2.41,1.07
Italy,4.115,6.86,2.815
Ivory Coast,0.74,8.18,3.915
Japan,2.365,4.17,1.6500000000000001
Jordan,0.485,1.575,1.165
Kazakhstan,1.8599999999999999,5.17,2.435
Kenya,0.6599999999999999,2.6500000000000004,3.8499999999999996
Kosovo,0.45,2.705,2.7
Kuwait,1.08,2.045,1.53
Kyrgyzstan,2.19,4.42,3.575
Laos,0.25,0.925,0.705
Latvia,2.9749999999999996,8.535,4.915
Lebanon,0.16,1.675,0.555
Liberia,1.0150000000000001,1.2550000000000001,13.795
Libya,2.83,4.515000000000001,2.785
Lithuania,2.12,4.14,2.085
Luxembourg,2.3099999999999996,6.185,3.455
Macedonia,3.2350000000000003,6.76,4.52
Madagascar,1.1400000000000001,5.199999999999999,2.495
Malawi,0.46,1.92,0.8350000000000001
Malaysia,1.56,1.4,2.045
Mali,1.115,8.57,2.3449999999999998
Malta,1.005,3.125,2.62
Mauritania,0.915,4.8100000000000005,2.6100000000000003
Mauritius,0.875,8.51,2.715
Mexico,0.5,3.27,2.385
Moldova,3.44,5.375,3.63
Mongolia,2.13,7.99,2.625
Montenegro,3.465,6.72,3.5199999999999996
Morocco,0.8300000000000001,1.94,2.16
Mozambique,0.5,2.19,4.585
Myanmar,0.365,2.1,1.5550000000000002
Namibia,2.225,5.585,7.855
Nepal,0.52,1.655,3.4
Netherlands,2.835,8.475,5.415
New Zealand,2.8049999999999997,4.905,3.315
Nicaragua,0.38,1.385,1.88
Niger,2.09,3.62,1.725
Nigeria,1.6199999999999999,2.475,7.9799999999999995
Northern Cyprus,,4.08,0.55
Norway,0.96,2.835,1.365
Pakistan,1.025,2.24,2.185
Palestine,0.03,1.49,1.455
Panama,0.7849999999999999,2.535,2.815
Paraguay,0.8500000000000001,3.98,4.165
Peru,1.56,8.73,7.685
Philippines,2.565,6.95,4.435
Poland,2.07,2.635,1.98
Portugal,0.99,2.57,4.154999999999999
Romania,2.29,6.445,3.0
Russia,4.735,11.805,5.994999999999999
Rwanda,0.31,0.815,0.325
Saudi Arabia,0.655,1.3650000000000002,1.93
Senegal,1.3599999999999999,7.370000000000001,4.705
Serbia,2.69,4.615,2.59
Sierra Leone,0.325,1.9649999999999999,1.81
Singapore,1.0550000000000002,1.525,1.435
Slovakia,1.31,3.195,1.195
Slovenia,2.9,6.1450000000000005,3.9749999999999996
South Africa,2.33,4.495,5.38
South Korea,2.555,3.9450000000000003,1.225
Spain,2.505,3.52,2.93
Sri Lanka,0.335,3.5199999999999996,1.7650000000000001
Sweden,1.1,6.14,1.56
Switzerland,4.63,10.77,3.84
Taiwan,1.83,8.515,2.895
Tajikistan,0.335,0.44999999999999996,0.39
Tanzania,0.29,1.145,2.13
Thailand,0.605,1.505,1.125
The Gambia,1.4049999999999998,2.39,2.605
Togo,1.53,12.504999999999999,6.1
Tunisia,1.32,2.5300000000000002,1.645
Turkey,1.73,2.945,1.79
Turkmenistan,2.6950000000000003,2.425,2.6599999999999997
Uganda,0.82,4.265,6.8149999999999995
Ukraine,2.145,7.635,3.5300000000000002
United Arab Emirates,1.225,2.19,1.695
United Kingdom,1.775,4.365,1.33
United States,3.03,5.545,2.895
Uruguay,1.1800000000000002,5.380000000000001,3.42
Uzbekistan,0.24000000000000002,1.66,0.565
Venezuela,0.07500000000000001,2.025,1.245
Vietnam,0.6950000000000001,4.055,1.785
Yemen,0.9199999999999999,1.53,1.6099999999999999
Zambia,1.17,5.14,4.075
Zimbabwe,0.28500000000000003,1.88,0.925
